,Train Accuracy,Test Accuracy,Test Accuracy Std,Test Precision,Test Recall,Test F1,Test F1 Std,Samples
SMOTE,0.9315046580640803,0.9257095943270908,0.0013985547975369605,0.9252223741654108,0.9257095969873497,0.9244141680264173,0.0014532853092534773,1586221.0
ADASYN,0.9191032064128256,0.9117215681362726,0.0014192277359134807,0.9120457124187851,0.9122390508230621,0.9100896720241062,0.001477603730787027,1596800.0
Random_Undersampling_Moderate,0.9245323612024144,0.8773919799199188,0.00240437012561216,0.878794273841485,0.8775277902682408,0.877502793176047,0.003364378931081433,83665.0
Random_Undersampling_Equal,0.9593949345148897,0.849084099408236,0.006440095641630356,0.8462450785782455,0.8490888382687928,0.8458969765322722,0.007008061806573986,15386.0
NearMiss_Moderate,0.9591465965457481,0.9318831052411403,0.0028207226758360637,0.9299665969336482,0.9082992190451108,0.9179737760538172,0.00356775277689259,83665.0
NearMiss_Equal,0.982240359703088,0.9417005331851758,0.003350720205742703,0.9424672389338042,0.9416979262195662,0.9415953599713458,0.003364788232716787,15386.0
Tomek_Links,0.870599804198163,0.8566124879406896,0.0008487834165435564,0.9058359525590112,0.7461664887359479,0.796590426694096,0.004144403767430005,449014.0
